Film,release_date,vote_average,Film,Oscarcategory,Name,Yearofaward,Film,Body_Count,Year
Braveheart,5/24/1995,7.9,Braveheart,Best Director,Mel Gibson,1996,Braveheart,184,1995
Gladiator,5/1/2000,8.2,Gladiator,Best Actor,Russell Crowe,2001,Gladiator,77,2000
Saving Private Ryan,7/24/1998,8.1,Saving Private Ryan,Best Director,Steven Spielberg,1999,Saving Private Ryan,255,1998
Titanic,11/18/1997,7.8,Titanic,Best Director,James Cameron,1998,Titanic,307,1997
The Fifth Element,5/2/1997,7.5,The Fifth Element,Best Director,,1997,The Fifth Element,80,1997
Kill Bill: Vol. 1,10/10/2003,8.0,Kill Bill: Vol. 1,Best Director,,2003,Kill Bill: Vol. 1,95,2003
Clash of the Titans,4/1/2010,5.8,Clash of the Titans,Best Director,,2010,Clash of the Titans,50,2010
Battleship,4/11/2012,5.7,Battleship,Best Director,,2012,Battleship,7,2012
The Expendables,8/3/2010,6.1,The Expendables,Best Director,,2010,The Expendables,45,2010
Ghost in the Shell,3/29/2017,6.0,Ghost in the Shell,Best Director,,2017,Ghost in the Shell,19,2017
Alien: Covenant,5/9/2017,5.9,Alien: Covenant,Best Director,,2017,Alien: Covenant,38,2017
Batman v Superman: Dawn of Justice,3/23/2016,5.8,Batman v Superman: Dawn of Justice,Best Director,,2016,Batman v Superman: Dawn of Justice,55,2016
